season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,Aaron Gordon,ORL,UNK,62,32.5,12.4,5.4,3.6,2.4,14.4,3.7,7.7,0.8,0.6,1.6
2019-20,Aaron Holiday,IND,UNK,66,24.5,8.5,3.5,1.3,1.1,9.5,3.4,2.4,0.8,0.2,1.3
2019-20,Abdel Nader,OKC,UNK,55,15.8,4.8,2.2,1.2,0.9,6.3,0.7,1.8,0.4,0.4,0.8
2019-20,Adam Mokoka,CHI,UNK,11,10.2,2.5,1.1,0.4,0.2,2.9,0.4,0.9,0.4,0.0,0.2
2019-20,Admiral Schofield,WAS,UNK,33,11.2,2.8,1.1,0.5,0.3,3.0,0.5,1.4,0.2,0.1,0.2
2019-20,Al Horford,PHI,UNK,67,30.2,10.6,4.8,1.2,0.9,11.9,4.0,6.8,0.8,0.9,1.2
2019-20,Al-Farouq Aminu,ORL,UNK,18,21.1,4.8,1.4,1.6,1.1,4.3,1.2,4.8,1.0,0.4,0.9
2019-20,Alec Burks,PHI,UNK,66,26.6,11.6,4.9,4.0,3.6,15.0,2.9,4.3,0.9,0.3,1.4
2019-20,Alen Smailagic,GSW,UNK,14,9.9,2.9,1.4,1.4,1.1,4.2,0.9,1.9,0.2,0.3,0.8
2019-20,Alex Caruso,LAL,UNK,64,18.4,4.5,1.9,1.5,1.1,5.5,1.9,1.9,1.1,0.3,0.8
2019-20,Alex Len,SAC,UNK,55,17.6,5.8,3.2,1.9,1.2,8.0,0.9,5.8,0.4,0.9,1.0
2019-20,Alfonzo McKinnie,CLE,UNK,40,14.8,4.3,1.8,0.8,0.6,4.6,0.4,2.8,0.6,0.2,0.7
2019-20,Alize Johnson,IND,UNK,17,6.9,1.7,0.7,0.6,0.4,2.0,0.4,2.8,0.2,0.1,0.4
2019-20,Allen Crabbe,MIN,UNK,37,17.6,4.8,1.7,0.4,0.3,4.6,0.9,2.1,0.4,0.1,0.5
2019-20,Allonzo Trier,NYK,UNK,24,12.1,4.4,2.1,1.8,1.4,6.5,1.2,1.2,0.1,0.2,0.9
2019-20,Amile Jefferson,ORL,UNK,18,4.1,0.8,0.3,0.8,0.3,0.8,0.2,1.3,0.1,0.2,0.2
2019-20,Amir Coffey,LAC,UNK,18,8.8,3.0,1.3,0.6,0.3,3.2,0.8,0.9,0.3,0.1,0.4
2019-20,Andre Drummond,CLE,UNK,57,33.0,13.8,7.3,5.2,3.0,17.7,2.7,15.2,1.9,1.6,3.6
2019-20,Andre Iguodala,MIA,UNK,21,19.9,4.2,1.8,0.7,0.3,4.6,2.4,3.7,0.7,1.0,1.2
2019-20,Andre Roberson,OKC,UNK,7,12.4,4.1,1.1,0.3,0.1,2.9,0.6,3.9,0.1,0.4,0.3
2019-20,Andrew Wiggins,GSW,UNK,54,34.4,18.1,8.1,5.0,3.5,21.8,3.7,5.1,0.8,1.0,2.4
2019-20,Anfernee Simons,POR,UNK,70,20.7,7.7,3.1,1.3,1.1,8.3,1.4,2.2,0.4,0.1,0.9
2019-20,Ante Zizic,CLE,UNK,22,10.0,3.3,1.9,0.9,0.6,4.4,0.3,3.0,0.3,0.2,0.5
2019-20,Anthony Davis,LAL,UNK,62,34.4,17.7,8.9,8.5,7.2,26.1,3.2,9.3,1.5,2.3,2.5
2019-20,Anthony Tolliver,MEM,UNK,55,15.9,3.3,1.2,0.5,0.4,3.6,0.8,2.8,0.3,0.2,0.6
2019-20,Antonius Cleveland,DAL,UNK,11,4.2,1.3,0.4,0.5,0.3,1.0,0.1,0.6,0.1,0.3,0.2
2019-20,Anžejs Pasečņiks,WAS,UNK,27,16.2,4.3,2.3,2.1,1.3,5.8,0.7,4.0,0.3,0.4,0.9
2019-20,Aron Baynes,PHX,UNK,42,22.2,9.1,4.4,1.8,1.3,11.5,1.6,5.6,0.2,0.5,1.2
2019-20,Austin Rivers,HOU,UNK,68,23.4,7.4,3.1,1.6,1.1,8.8,1.7,2.6,0.7,0.1,0.7
2019-20,Avery Bradley,LAL,UNK,49,24.2,7.8,3.5,0.5,0.4,8.6,1.3,2.3,0.9,0.1,1.0
2019-20,BJ Johnson,ORL,UNK,10,8.3,3.2,0.9,1.0,0.9,3.0,0.3,1.5,0.3,0.0,0.6
2019-20,Bam Adebayo,MIA,UNK,72,33.6,11.0,6.1,5.3,3.7,15.9,5.1,10.2,1.1,1.3,2.8
2019-20,Ben McLemore,HOU,UNK,71,22.8,7.7,3.4,0.9,0.7,10.1,0.8,2.2,0.6,0.2,0.7
2019-20,Ben Simmons,PHI,UNK,57,35.4,11.4,6.6,5.2,3.2,16.4,8.0,7.8,2.1,0.6,3.5
2019-20,Bismack Biyombo,CHA,UNK,53,19.4,5.2,2.8,2.8,1.7,7.4,0.9,5.8,0.2,0.9,0.9
2019-20,Blake Griffin,DET,UNK,18,28.5,13.9,4.9,5.4,4.2,15.5,3.3,4.7,0.4,0.4,2.2
2019-20,Boban Marjanovic,DAL,UNK,44,9.6,4.8,2.8,1.3,1.0,6.6,0.5,4.5,0.2,0.2,0.7
2019-20,Bobby Portis,NYK,UNK,66,21.1,8.9,4.0,1.4,1.1,10.1,1.5,5.1,0.5,0.3,1.1
